name,price,is_supported,incoming_call,outgoing_call,outgoing_call_from_to_Armadillo,calls_from_Armadillo_to_Armadillo_connection,to_Armadillo,to_World
Romania,0.006,Yes,0,0.49,0.25,0.04,0.1,0.25
Russia,0.0036,Yes,0,0.49,0.25,0.04,0.1,0.25
San Marino,0.006,Yes,0,0.75,0.25,0.04,0.1,0.25
Saudi Arabia,0.054,Yes,0,0.59,0.25,0.04,0.1,1.1
Serbia,0.081,Yes,0.25,1,1,0,0.1,0.45
Seychelles,0.2106,Yes,2.8,3.35,3.35,0,0.1,1.1
Sierra Leone,,No,0.5,1,1,0,0.1,0.59
Singapore,0.0046,Yes,0,0.49,0.25,0.04,0.1,1.1
Slovakia,0.006,Yes,0,0.49,0.25,0.04,0.1,0.25
Slovenia,0.006,Yes,0,0.49,0.25,0.04,0.1,0.25
South Africa,0.054,Yes,0,0.59,0.25,0.04,0.1,0.45
Spain,0.0036,Yes,0,0.49,0.25,0.04,0.1,0.25
Sri Lanka,0.045,Yes,0,0.75,0.25,0.04,0.1,0.59
St.Kitts,0.081,No,0,0.65,0.25,0.04,0.1,0.59
St.Lucia,0.081,No,0,0.65,0.25,0.04,0.1,0.59
St.Vincent / Grenada,0.081,No,0,0.65,0.25,0.04,0.1,0.59
Surinam,,No,0.25,0.95,0.95,0,0.1,0.59
Sweden,0.0036,Yes,0,0.39,0.25,0.04,0.1,0.25
Switzerland,0.0084,Yes,0.25,0.85,0.85,0,0.1,0.25
Syria,,No,0,0.85,0.25,0.04,0.1,1.55
Taiwan,0.0078,Yes,0,0.75,0.25,0.04,0.1,0.45
Tajikistan,0.0479,Yes,0,0.65,0.25,0.04,0.1,1.1
Tanzania,0.478,Yes,0.25,0.75,0.75,0,0.1,1.1
Thailand,0.0046,Yes,0,0.39,0.25,0.04,0.1,0.59
Trinidad &Tobago,,No,2.15,2.5,2.5,0,0.1,1.1
Tunisia,0.3132,Yes,1.25,1.55,1.55,0,0.1,1.55
Turk & Caicos Isl.,0.081,No,0,0.65,0.25,0.04,0.1,0.59
Turkey,0.0054,Yes,0,0.49,0.25,0.04,0.1,0.59
Uganda,,No,0.25,0.85,0.85,0,0.1,1.1
Ukraine,0.0108,Yes,0,0.55,0.25,0.04,0.1,0.25
United Arab Em.,0.0342,Yes,0.65,1.5,1.5,0,0.1,0.45
United Kingdom,0.0072,Yes,0,0.39,0.25,0.04,0.1,0.25
Uruguay,0.027,Yes,0,0.65,0.25,0.04,0.1,0.59
USA,0.0054,Yes,0,0.49,0.25,0.04,0.1,0.2
Uzbekistan,0.0378,Yes,0,0.59,0.25,0.04,0.1,0.59
Vanuatu Republic,,No,2.15,2.5,2.5,0,0.1,1.1
Vatican City,0.006,Yes,0,0.49,0.25,0.04,0.1,0.25
Vietnam,0.1188,Yes,0,0.55,0.25,0.04,0.1,1.1
